"Category","Path","Feature","SG.json","IPB.json","Details"
"Modified","Feature.feature10","feature10","{
  ""status"" : ""OVERRIDE"",
  ""override"" : {
    ""staff"" : true
  }
}","{
  ""status"" : ""OVERRIDE"",
  ""override"" : {
    ""staff"" : false
  }
}",""
"Modified","Feature.feature11","feature11","{
  ""status"" : ""OVERRIDE"",
  ""override"" : {
    ""segments"" : [ ""SEG1"", ""SEG5"" ]
  }
}","{
  ""status"" : ""OVERRIDE"",
  ""override"" : {
    ""segments"" : [ ""SEG1"", ""SEG4"" ]
  }
}",""
"Modified","Feature.feature12","feature12","{
  ""status"" : ""OVERRIDE"",
  ""override"" : {
    ""staff"" : true
  }
}","{
  ""status"" : ""ON""
}",""
"Missing","Feature.feature13","feature13","{
  ""status"" : ""OVERRIDE"",
  ""override"" : {
    ""segments"" : [ ""SEG1"", ""SEG5"" ]
  }
}","",""
"Missing","Feature.feature14","feature14","{
  ""status"" : ""ON""
}","",""
"Modified","Feature.feature3","feature3","{
  ""status"" : ""ON""
}","{
  ""status"" : ""OFF""
}",""
"Missing","Feature.feature4","feature4","{
  ""status"" : ""ON""
}","",""
"Missing","Feature.feature5","feature5","","{
  ""status"" : ""ON""
}",""
"Modified","Feature.feature8","feature8","{
  ""status"" : ""OFF""
}","{
  ""status"" : ""OVERRIDE"",
  ""override"" : {
    ""staff"" : false
  }
}",""
"Modified","Feature.feature9","feature9","{
  ""status"" : ""ON""
}","{
  ""status"" : ""OVERRIDE"",
  ""override"" : {
    ""segments"" : [ ""SEG1"", ""SEG4"" ]
  }
}",""
